tgt_Y,tgt_M,tgt_D,tgt_tz,temperature,humidity,windspeed,winddirection,6hrain,6hsnow,rainprobability,raintype,seawave,skystatus,ss_numberofturbineinuse,ss
2014,1,29,6,10.8,85,3.5,254,5,0,70,1,0.5,4,9.888888889,2647.287333
2014,1,29,7,10.7,85,3.5,241,5,0,60,1,0.5,4,7.611111111,2127.726
2014,1,30,0,12,80,3.4,283,0,0,30,0,0.5,4,10,9508.186667
2014,1,30,1,13.2,63,3.7,279,0,0,20,0,0.5,3,10,5395.273
2014,1,30,2,14.1,70,3.9,301,0,0,20,0,0.5,3,4.944444444,310.329
2014,1,30,3,11,68,4.6,318,0,0,20,0,0.5,3,7.722222222,1769.339333
2014,1,30,4,9,70,3.3,318,0,0,20,0,0.5,3,9.388888889,8651.475
2014,1,30,5,6.1,70,2.1,4,0,0,10,0,0.5,2,10,14409.573
2014,1,30,6,6.1,70,2.4,25,0,0,0,0,0.5,1,10,2838.485667
2014,1,30,7,5.4,65,2.5,34,0,0,0,0,0.5,1,10,8927.811667
2014,1,31,0,10.2,79,2.5,31,0,0,0,0,0.5,1,10,7351.206667
2014,1,31,1,13,74,2.1,108,0,0,0,0,0.5,1,10,4343.628
2014,1,31,2,13.9,69,1.8,153,0,0,0,0,0,1,10,3994.984333
2014,1,31,3,11.8,75,2.5,163,0,0,10,0,0,2,2,123.5253333
2014,1,31,4,12.2,70,2.5,152,0,0,0,0,0,1,7.111111111,989.815
2014,1,31,5,11.1,75,3,171,0,0,0,0,0,1,10,3703.6
2014,1,31,6,11.5,75,2.8,186,0,0,10,0,0.5,2,10,2910.347
2014,1,31,7,12.4,75,3.5,200,0,0,10,0,0.5,2,10,3419.275667
2014,2,1,0,14.3,75,4.8,195,0,0,10,0,0.5,2,10,3746.580667
2014,2,1,1,17.299999,80,3.4,194,0,0,20,0,0.5,3,10,2710.954667
2014,2,1,2,17.299999,85,3.6,187,5,0,27,0,1,4,10,6076.337
2014,2,1,3,15.1,85,3,189,5,0,59,1,0.5,4,9.222222222,4642.104667
2014,2,1,4,15.2,95,2.8,155,5,0,63,1,0.5,4,4.833333333,1215.045667
2014,2,1,5,14.4,85,2.1,221,0,0,30,0,0.5,4,9.277777778,2717.145333
2014,2,1,6,13.1,85,2.9,277,0,0,20,0,0.5,3,9.944444444,6392.960333
2014,2,1,7,12.2,85,2.5,257,0,0,20,0,1,3,6.277777778,2257.511333
2014,2,2,0,14,80,3.7,294,0,0,10,0,1,2,2.888888889,124.0453333
2014,2,2,1,16.9,70,4.1,294,0,0,10,0,0.5,2,0,0
2014,2,2,2,15.6,60,4.7,301,0,0,10,0,0.5,2,6.833333333,5979.069333
2014,2,2,3,14.9,70,4.3,311,0,0,10,0,0.5,2,10,12454.68367
2014,2,2,4,12.1,85,2.8,294,0,0,20,0,0.5,3,10,8363.195333
2014,2,2,5,10.1,85,5,319,0,0,30,0,0.5,3,9.833333333,2295.226
2014,2,2,6,8.9,85,4.6,318,0,0,30,0,0.5,4,7.277777778,921.6906667
2014,2,2,7,7.9,75,4.1,324,0,0,30,0,0.5,4,8.666666667,5847.780333
2014,2,3,0,9,75,4.1,331,0,0,20,0,1,3,10,14743.944
2014,2,3,1,8.9,60,5.2,330,0,0,20,0,1,3,10,16280.28467
2014,2,3,2,8.9,55,6.4,337,0,0,10,0,2,2,9.888888889,16101.429
2014,2,3,3,5.9,55,6.6,341,0,0,10,0,1.5,2,10,19036.35567
2014,2,3,4,4,58,5.7,338,0,0,10,0,1.5,2,9.833333333,18777.67667
2014,2,3,5,0.9,61,5.7,336,0,0,10,0,1.5,2,9.888888889,19374.57467
2014,2,3,6,0,67,5.5,334,0,0,20,0,1.5,3,9.722222222,18480.06133
2014,2,3,7,-0.1,62,4.3,337,0,0,20,0,1.5,3,10,16465.05533
2014,2,4,0,0,56,5.4,342,0,0,30,0,1.5,3,10,18685.719
2014,2,4,1,1,56,6.4,341,0,0,30,0,1.5,3,9.833333333,18828.58133
2014,2,4,2,0.9,56,6.5,339,0,0,30,0,1,3,10,18417.817
2014,2,4,3,-0.1,55,6.6,348,0,0,21,0,1,2,9.833333333,18078.21667
2014,2,4,4,-0.1,57,4.4,355,0,0,21,0,1,2,10,18515.211
2014,2,4,5,-1.1,59,4.3,351,0,0,10,0,1,2,10,18932.242
2014,2,4,6,-2,65,4.2,354,0,0,20,0,1,3,10,14629.78567
2014,2,4,7,-1,65,4.3,354,0,0,20,0,1,3,10,12131.154
2014,2,5,0,2,55,3.1,3,0,0,20,0,1,3,10,17309.54533
2014,2,5,1,3.9,50,1.6,25,0,0,20,0,0.5,3,10,6886.600333
2014,2,5,2,5,55,3.4,53,0,0,30,0,0.5,4,10,6160.8
2014,2,5,3,4.1,70,3.3,44,0,0,30,0,0.5,4,10,6346.409333
2014,2,5,4,4,75,3.8,70,0,0,30,0,0.5,4,9.888888889,1345.448333
2014,2,5,5,4,80,4,57,0,0,30,0,0.5,4,9.055555556,1094.253
2014,2,5,6,4,85,5.1,54,5,0,59,1,0.5,4,9.944444444,1258.117333
2014,2,5,7,5,90,5.4,50,5,0,70,1,0.5,4,8.055555556,948.2966667
2014,2,6,0,6.2,86,3.4,31,5,0,81,1,1,4,10,1559.888
2014,2,6,1,7.3,90,4.4,42,5,0,80,1,1,4,9.388888889,1157.857333
2014,2,6,2,6.1,85,4.2,52,5,0,70,1,1,4,9.777777778,4091.855
2014,2,6,3,6.1,90,4.3,42,5,0,63,1,1,4,9.888888889,8237.811
2014,2,6,4,6.2,90,5.4,58,0,0,30,0,1.5,4,9.888888889,7548.836333
2014,2,6,5,7.2,90,5.4,57,0,0,30,0,1.5,4,10,5592.371667
2014,2,6,6,7.1,90,5.6,42,0,0,30,0,1.5,4,10,5923.731667
2014,2,6,7,8.2,90,5.4,39,5,0,60,1,1.5,4,10,7001.694667
2014,2,7,0,8.2,86,4.2,64,10,0,70,1,1.5,4,10,4811.458667
2014,2,7,1,9.2,85,4.6,45,10,0,60,1,1.5,4,10,12767.928
2014,2,7,2,9.1,80,5.1,57,5,0,61,1,1.5,4,10,13046.954
